draw_date,draw_date_text,year_be,first_prize,first_prize_digits,last3_numbers,last2_number,near_first_prize,special_first_prize_raw,prize2_numbers,prize3_numbers,prize4_numbers,prize5_numbers,has_detail_section,source_url,source_file
1994-04-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 เมษายน 2537,2537,4269815,7,035|675|704|868,29,,,,,,,False,https://myhora.com/lottery/result-01-04-2537.aspx,1994-04-01-BE2537.html
1994-03-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 มีนาคม 2537,2537,1723336,7,166|185|382|515,19,,,,,,,False,https://myhora.com/lottery/result-16-03-2537.aspx,1994-03-16-BE2537.html
1994-03-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 มีนาคม 2537,2537,3373731,7,008|082|631|820,41,,,,,,,False,https://myhora.com/lottery/result-01-03-2537.aspx,1994-03-01-BE2537.html
1994-02-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กุมภาพันธ์ 2537,2537,7679044,7,486|520|753|943,76,,,,,,,False,https://myhora.com/lottery/result-16-02-2537.aspx,1994-02-16-BE2537.html
1994-02-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กุมภาพันธ์ 2537,2537,5984685,7,173|268|396|746,05,,,,,,,False,https://myhora.com/lottery/result-01-02-2537.aspx,1994-02-01-BE2537.html
1994-01-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 มกราคม 2537,2537,4791270,7,237|708|845|873,23,,,,,,,False,https://myhora.com/lottery/result-16-01-2537.aspx,1994-01-16-BE2537.html
1993-12-30,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 30 ธันวาคม 2536,2536,2669189,7,037|069|874|902,72,,,,,,,False,https://myhora.com/lottery/result-30-12-2536.aspx,1993-12-30-BE2536.html
1993-12-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ธันวาคม 2536,2536,4043500,7,156|253|478|646,69,,,,,,,False,https://myhora.com/lottery/result-16-12-2536.aspx,1993-12-16-BE2536.html
1993-12-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ธันวาคม 2536,2536,3670638,7,139|294|608|959,98,,,,,,,False,https://myhora.com/lottery/result-01-12-2536.aspx,1993-12-01-BE2536.html
1993-11-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 พฤศจิกายน 2536,2536,7515123,7,112|184|410|507,82,,,,,,,False,https://myhora.com/lottery/result-16-11-2536.aspx,1993-11-16-BE2536.html
1993-11-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 พฤศจิกายน 2536,2536,3908940,7,103|626|701|895,94,,,,,,,False,https://myhora.com/lottery/result-01-11-2536.aspx,1993-11-01-BE2536.html
1993-10-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ตุลาคม 2536,2536,7611764,7,216|254|566|684,58,,,,,,,False,https://myhora.com/lottery/result-16-10-2536.aspx,1993-10-16-BE2536.html
